IMG_ID,base_dice,base_status,base_min_hu,base_thresh_vox,base_lcc_vox,artery_dice,ostia_detection_status,min_threshold_hu,threshold_voxel_count,lcc_voxel_count,variant,delta,lcc_delta,threshold_delta,status_changed
175,0.4584321949576744,both tolerable,-300.0,9988264,9789266,0.4978520511731105,both tolerable,-78.0,8729447,8255643,percentile_p15p0,0.03941985621543609,-1533623,-1258817,False
760,0.7184318282425852,both tolerable,-300.0,11317959,10482444,0.7242388675990215,both tolerable,-96.0,9924392,8737268,percentile_p15p0,0.005807039356436228,-1745176,-1393567,False
696,0.6303600323624595,both tolerable,-300.0,8565969,8325140,0.6310910879809435,both tolerable,-90.25,7585990,7351557,percentile_p15p0,0.0007310556184839667,-973583,-979979,False
194,0.789477826928829,both tolerable,-300.0,12683474,12397124,0.8045742092457421,both tolerable,-78.0,11062478,10250508,percentile_p15p0,0.015096382316913126,-2146616,-1620996,False
305,0.6876775376649528,both tolerable,-300.0,11260109,11026716,0.6913520370094016,both tolerable,-106.75,9748965,8825534,percentile_p15p0,0.003674499344448856,-2201182,-1511144,False
344,0.7381695928277923,both tolerable,-300.0,12321281,10908226,0.7441930618401207,both tolerable,-107.75,10773126,9175544,percentile_p15p0,0.00602346901232842,-1732682,-1548155,False
28,0.6709658928059616,both tolerable,-300.0,11132512,10785632,0.6761219481761843,both tolerable,-90.75,9656354,9014736,percentile_p16p0,0.005156055370222679,-1770896,-1476158,False
380,0.5410466097957435,both tolerable,-300.0,7780773,7643416,0.5666937229437229,both tolerable,-106.25,6834123,6659863,percentile_p16p0,0.025647113147979406,-983553,-946650,False
854,0.6313070183361936,both tolerable,-300.0,10687984,10438449,0.5872620312117003,both tolerable,-96.0,9344106,8396727,percentile_p16p0,-0.04404498712449334,-2041722,-1343878,False
937,0.6849258025439128,both tolerable,-300.0,11831469,11533848,0.6489027561102444,both tolerable,-88.75,10238872,9606638,percentile_p16p0,-0.03602304643366838,-1927210,-1592597,False
315,0.646501922778458,both tolerable,-300.0,12588138,12429464,0.6455087923113482,both tolerable,-87.0,10937048,10583840,percentile_p16p0,-0.000993130467109804,-1845624,-1651090,False
428,0.6234361008059358,both tolerable,-300.0,12617439,12468805,0.6235746434148197,both tolerable,-100.75,10881906,9804012,percentile_p16p0,0.00013854260888390701,-2664793,-1735533,False
752,0.5856114949368065,both tolerable,-300.0,8617680,7856116,0.6379264249812854,both tolerable,-56.0,7626984,6828113,percentile_p16p0,0.05231493004447885,-1028003,-990696,False
13,0.5726432920428302,both tolerable,-300.0,12338830,12137872,0.5733188233058679,both tolerable,-97.5,10648619,10331439,percentile_p16p0,0.0006755312630377652,-1806433,-1690211,False
538,0.5561581525542337,both tolerable,-300.0,12495664,12072304,0.7162831858407079,both tolerable,-80.5,10675119,9695724,percentile_p16p0,0.1601250332864742,-2376580,-1820545,False
965,0.4815496709495456,both tolerable,-300.0,12597889,12460364,0.6550552251486831,both tolerable,-103.25,10771944,10491836,percentile_p16p0,0.1735055541991375,-1968528,-1825945,False
447,0.467348882947666,found but incorrect,-300.0,11684575,11506073,0.4644908935337978,found but incorrect,-108.75,10154296,9841873,percentile_p16p0,-0.0028579894138682227,-1664200,-1530279,False
836,0.7438879393624136,both tolerable,-300.0,10869642,10324182,0.7135632548638519,both tolerable,-79.25,9406723,8837544,percentile_p16p0,-0.030324684498561738,-1486638,-1462919,False
603,0.4381347508535373,found but incorrect,-300.0,8507098,8264026,0.4378695670939617,found but incorrect,-90.25,7460784,7058699,percentile_p16p0,-0.0002651837595756268,-1205327,-1046314,False
676,0.4987987289777571,both tolerable,-300.0,13123804,12960701,0.4985918753134524,both tolerable,-96.0,11255509,10808758,percentile_p16p0,-0.00020685366430472918,-2151943,-1868295,False
