stage,variant,split,IMG_ID,segmentation_variant,vesselness_profile,artery_method,morphology_profile,morphology_closing_radius,morphology_dilation_radius,ostia_status,ostia_success,left_dist_mm,right_dist_mm,dice_artery,dice_artery_before_morphology,dice_artery_after_morphology,dice_artery_morphology_delta,artery_voxels,artery_voxels_before_morphology,artery_voxels_after_morphology,morphology_added_voxels,recall_before_morphology,recall_after_morphology,precision_before_morphology,precision_after_morphology,vesselness_seconds,segmentation_seconds,morphology_seconds,fc_processed_voxels,fc_candidate_voxels_initial,fc_candidate_voxels_final,fc_effective_alpha,fc_object_seed_count,fc_grow_each_ostium_separately,fc_processed_limit_hit,fc_candidate_limit_hit,error
refinement,fc_alpha_018__current_c3_d2,train,760,fc_alpha_018,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.65625,0.8250236739027553,0.6812201952918023,0.37764088523842115,0.6812201952918023,0.3035793100533812,30802,8577,30802,22225,0.23476016225569454,0.638215187359941,0.9649061443395126,0.7304395818453348,0.41908379799860995,2.024234208998678,1.7944796750016394,8577.0,491816.0,491816.0,0.18,8.0,False,False,False,
refinement,fc_alpha_018__raw,train,760,fc_alpha_018,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.65625,0.8250236739027553,0.37764088523842115,0.37764088523842115,0.37764088523842115,0.0,8577,8577,8577,0,0.23476016225569454,0.23476016225569454,0.9649061443395126,0.9649061443395126,0.41908379799860995,2.024234208998678,0.23332279800160904,8577.0,491816.0,491816.0,0.18,8.0,False,False,False,
refinement,fc_current__closing_c3_d1,train,760,fc_current,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.65625,0.8250236739027553,0.6223514901607055,0.3992822698216889,0.6223514901607055,0.22306922033901655,19070,9332,19070,9738,0.2524891498595864,0.479505290329901,0.9538148306900985,0.886418458311484,0.41908379799860995,2.136512210003275,1.5397405690018786,9332.0,491816.0,491816.0,0.16,8.0,False,False,False,
refinement,fc_current__conservative_c2_d1,train,760,fc_current,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.65625,0.8250236739027553,0.6200018468926032,0.3992822698216889,0.6200018468926032,0.22071957707091427,18892,9332,18892,9560,0.2524891498595864,0.47612969109012,0.9538148306900985,0.8884713106076646,0.41908379799860995,2.136512210003275,0.6014733580013853,9332.0,491816.0,491816.0,0.16,8.0,False,False,False,
refinement,fc_current__current_c3_d2,train,760,fc_current,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.65625,0.8250236739027553,0.6834800863024083,0.3992822698216889,0.6834800863024083,0.2841978164807194,33343,9332,33343,24011,0.2524891498595864,0.664964683856693,0.9538148306900985,0.7030561137270191,0.41908379799860995,2.136512210003275,1.8165997190008056,9332.0,491816.0,491816.0,0.16,8.0,False,False,False,
refinement,fc_current__raw,train,760,fc_current,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.65625,0.8250236739027553,0.3992822698216889,0.3992822698216889,0.3992822698216889,0.0,9332,9332,9332,0,0.2524891498595864,0.2524891498595864,0.9538148306900985,0.9538148306900985,0.41908379799860995,2.136512210003275,0.23365416399974492,9332.0,491816.0,491816.0,0.16,8.0,False,False,False,
refinement,fc_floor_020__closing_c3_d1,train,760,fc_floor_020,current,fuzzy_connectedness,closing_c3_d1,3,1,both_tolerable,True,0.65625,0.8250236739027553,0.6233689859227405,0.400564617314931,0.6233689859227405,0.2228043686078095,19161,9379,19161,9782,0.25356707230590303,0.4810938076192097,0.9530866830152468,0.8851312561974845,0.41908379799860995,2.1021274170016113,1.5553989899999578,9379.0,454660.0,454660.0,0.16,8.0,False,False,False,
refinement,fc_floor_020__conservative_c2_d1,train,760,fc_floor_020,current,fuzzy_connectedness,conservative_c2_d1,2,1,both_tolerable,True,0.65625,0.8250236739027553,0.6209020171847919,0.400564617314931,0.6209020171847919,0.2203373998698609,18981,9379,18981,9602,0.25356707230590303,0.4776047428587638,0.9530866830152468,0.8870449396765187,0.41908379799860995,2.1021274170016113,0.5994310379974195,9379.0,454660.0,454660.0,0.16,8.0,False,False,False,
refinement,fc_floor_020__current_c3_d2,train,760,fc_floor_020,current,fuzzy_connectedness,current_c3_d2,3,2,both_tolerable,True,0.65625,0.8250236739027553,0.6832511383639565,0.400564617314931,0.6832511383639565,0.2826865210490255,33486,9379,33486,24107,0.25356707230590303,0.6661277054435083,0.9530866830152468,0.7012781460909037,0.41908379799860995,2.1021274170016113,1.7991194809983426,9379.0,454660.0,454660.0,0.16,8.0,False,False,False,
refinement,fc_floor_020__raw,train,760,fc_floor_020,current,fuzzy_connectedness,raw,0,0,both_tolerable,True,0.65625,0.8250236739027553,0.400564617314931,0.400564617314931,0.400564617314931,0.0,9379,9379,9379,0,0.25356707230590303,0.25356707230590303,0.9530866830152468,0.9530866830152468,0.41908379799860995,2.1021274170016113,0.2346548690002237,9379.0,454660.0,454660.0,0.16,8.0,False,False,False,
