lower_threshold_percentile,IMG_ID,normal_dice,normal_ostia_status,normal_left_dist_mm,normal_right_dist_mm,normal_artery_voxels,fuzzy_dice,fuzzy_ostia_status,fuzzy_left_dist_mm,fuzzy_right_dist_mm,fuzzy_artery_voxels,fuzzy_minus_normal_dice,fuzzy_minus_normal_voxels
10.5,330,0.6587634185323618,both tolerable,0.0,1.974511812933532,46201,0.6922514223787591,both tolerable,1.91015625,1.974511812933532,40560,0.033488003846397385,-5641
10.5,90,0.6846914092197111,both tolerable,1.3203125,0.8281342128025279,34037,0.3859987622410717,both tolerable,1.4761542507713454,0.8281342128025279,16630,-0.29869264697863934,-17407
10.5,608,0.679926873857404,both tolerable,1.3680800657879093,0.5,32573,0.6771778125287462,both tolerable,1.3680800657879093,0.5,32228,-0.0027490613286578203,-345
10.5,887,0.55069926511003,both tolerable,0.7890625,0.0,16428,0.550377473984901,both tolerable,0.7890625,0.0,16315,-0.00032179112512897845,-113
10.5,175,0.4723669004385201,both tolerable,0.9004562916672442,0.5,39285,0.4747639622339574,both tolerable,0.9004562916672442,0.5,38608,0.0023970617954373052,-677
10.5,760,0.7234948335894219,both tolerable,0.0,1.0541954870895625,35686,0.7246793958392704,both tolerable,0.0,1.0541954870895625,34927,0.0011845622498485309,-759
10.5,696,0.6309483849311885,both tolerable,0.0,1.739843048383334,18646,0.6318547341115435,both tolerable,0.0,1.739843048383334,18467,0.0009063491803549262,-179
10.5,194,0.798856206525406,both tolerable,0.8095744354916121,1.345667690480501,32344,0.8050786838340487,both tolerable,0.8095744354916121,1.345667690480501,31607,0.006222477308642671,-737
10.5,305,0.6913474437323,both tolerable,1.841961526640825,0.0,27492,0.6929033706183831,both tolerable,1.841961526640825,0.0,27282,0.001555926886083192,-210
10.5,344,0.7433385992627699,both tolerable,2.31325209475886,0.0,34365,0.7373709692153101,both tolerable,2.31325209475886,0.0,33582,-0.005967630047459815,-783
11.0,28,0.6719346496449242,both tolerable,1.0737001589130926,0.8375058302035873,24537,0.6736111111111112,both tolerable,1.0737001589130926,0.8375058302035873,24199,0.0016764614661869404,-338
11.0,380,0.556591883035039,both tolerable,2.504064688825013,1.739843048383334,39895,0.5777931224968927,both tolerable,2.3495403733114086,1.739843048383334,36932,0.021201239461853705,-2963
11.0,854,0.6434382934559001,both tolerable,1.2734375,0.63671875,29581,0.641566265060241,both tolerable,1.2734375,0.63671875,28744,-0.0018720283956591421,-837
11.0,937,0.6903114186851211,both tolerable,1.390625,2.160392872438078,27997,0.6910641253183116,both tolerable,1.390625,2.160392872438078,27813,0.0007527066331904919,-184
11.0,315,0.646448412005171,both tolerable,0.0,1.2113217636280884,28027,0.6463487175898387,both tolerable,0.0,1.2113217636280884,27943,-9.96944153323076e-05,-84
11.0,428,0.6285714285714286,both tolerable,0.0,1.2202077119702048,33973,0.63191381495564,both tolerable,0.0,1.2202077119702048,34858,0.003342386384211471,885
11.0,752,0.6598411342453877,both tolerable,0.0,0.5,44212,0.4810510358767054,found but incorrect,14.23387813433725,1.345667690480501,37025,-0.17879009836868232,-7187
11.0,13,0.5727040816326531,both tolerable,2.0859375,1.1031404921008474,25402,0.5747418138239752,both tolerable,2.0859375,1.1031404921008474,24128,0.0020377321913220836,-1274
11.0,538,0.7438996195800668,both tolerable,0.0,0.8095744354916121,22865,0.6125110304931856,both tolerable,0.0,0.8095744354916121,16082,-0.13138858908688122,-6783
11.0,965,0.6571113918310498,both tolerable,1.546875,1.4820293967437017,34083,0.6611121055800556,both tolerable,1.546875,1.4820293967437017,33788,0.004000713749005791,-295
11.0,447,0.4645779894955417,found but incorrect,0.6953125,7.205497169045659,11841,0.4661446338093045,found but incorrect,0.6953125,7.205497169045659,11658,0.0015666443137627994,-183
11.0,836,0.7472946453602467,both tolerable,0.9004562916672442,0.5,26317,0.7476229692296175,both tolerable,0.9004562916672442,0.5,26240,0.0003283238693707613,-77
11.0,603,0.4379543150492871,found but incorrect,0.0,27.84537235076125,15400,0.4325676498738362,found but incorrect,0.0,27.84537235076125,15011,-0.005386665175450889,-389
11.0,676,0.4984565519370273,both tolerable,1.1576348337032387,0.8916609243998318,8637,0.4981522542498152,both tolerable,1.1576348337032387,0.8916609243998318,8428,-0.00030429768721212946,-209
11.0,44,0.3953923255292094,both tolerable,0.58984375,0.0,103028,0.630461403892412,both tolerable,0.58984375,0.0,47429,0.23506907836320262,-55599
